id,series_order_detected,title_detected,language,source_extract_found,mechanical_pass_found,editorial_pass_found,qa_status,bestseller_readiness,final_export_candidate_found,final_export_path,epub_found,pdf_found,docx_found,kpf_found,cover_found,cover_path,cover_kdp_ready,metadata_found,short_description_found,long_description_found,keywords_found,price_found,gumroad_url,medioevo_store_url,medioevo_books_url,public_confirmed,recommended_product_type,publication_readiness,public_safety_class,risk_flags,missing_items,next_action
00_EL_OBSERVADOR,1,MEDIOEVO: El Observador,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
01_DESPERTAR,2,MEDIOEVO: Despertar Preview,es,True,True,True,qa_pass,AMBER,True,<LRG>/releases/books/MEDIOEVO_DESPERTAR_PREVIEW_20260513_232758.zip,False,False,False,False,True,<LRG>/PRODUCTOS_MEDIOEVO/01_LIBROS_Y_BUNDLES/despertar-preview-gumroad_20260513_232758/assets/cover/medioevo-despertar-preview-cover-v1.png,unknown,True,True,True,False,True,https://lrgonzalez.gumroad.com/l/dmqgzi,https://medioevo.space/store,https://medioevo.space/books,True,preview,PUBLIC_CONFIRMED,PUBLIC_CONFIRMED,PUBLIC_PREVIEW_ONLY_NOT_FULL_PRIVATE_ARCHIVE,keywords_optional_or_not_recorded;full_ebook_export_not_found_for_private_full_book,Keep as public anchor; human-review whether to create a separate full-book export later.
02_DERIVA,3,MEDIOEVO: Deriva,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,individual,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,"Candidate next release: create export package, cover, metadata, price, and private review packet."
03_FRAGMENTOS,4,MEDIOEVO: Fragmentos,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,individual,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,"Candidate next release: create export package, cover, metadata, price, and private review packet."
04_CALIBRACIÓN,5,MEDIOEVO: Calibración,es,False,False,False,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,individual,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,"Candidate next release: create export package, cover, metadata, price, and private review packet."
05_TRANSICIÓN,6,MEDIOEVO: Transición,es,False,False,False,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
06_UMBRAL,7,MEDIOEVO: Umbral,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
07_BABEL,8,MEDIOEVO: Babel,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
08_POST_BABEL,9,MEDIOEVO: Post Babel,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
09_NOSOTROS_USTEDES_LOS_OTROS,10,MEDIOEVO: Nosotros Ustedes Los Otros,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
10_LE_JARDIN,11,MEDIOEVO: Le Jardin,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
11_FRONTERA,12,MEDIOEVO: Frontera,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
12_DON_HUMO,13,MEDIOEVO: Don Humo,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
13_NEXUS,14,MEDIOEVO: Nexus,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,bundle,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Backlog for saga bundle planning after metadata/export sprint.
14_LA_BIBLIOTECA_COLAPSADA,15,MEDIOEVO: La Biblioteca Colapsada,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
